,Siruta,Localitate,Ca_loc
171,41471,Moieciu,0.0
172,82430,Oras Tismana,2.9282310064479957
173,74242,Sopot,1370.1765042979944
174,98827,Schitu Duca,0.0
175,16908,Leresti,18.662068965517243
176,66081,Oras Titu,61.90039571469935
177,123424,Petricani,60.222385620915034
178,139811,Oras Jibou,44.412605533729
179,148006,Oras Dolhasca,22.28102921936328
180,115236,Atintis,577.992390615092
181,90663,Rapoltu Mare,35.57992939989914
182,107047,Arinis,150.18840579710144
183,131620,Oras Urlati,1873.6093347086128
184,172581,Roesti,0.0
185,164393,Ivanesti,12.423042505592841
186,57902,Gilau,1808.125919117647
187,16944,Lunca Corbului,1263.6757957068837
188,156213,Carpinis,4108.046836337929
189,33337,Ilva Mare,0.0
190,25148,Sanduleni,0.0
191,41541,Ormenis,0.0
192,107083,Asuaju De Sus,0.0
193,74322,Teasc,131.10755148741418
194,33364,Ilva Mica,0.0
195,123479,Piatra Soimului,94.38245857953888
196,57948,Garbau,18.017687661777394
197,156259,Cenad,2803.1312487142563
198,90725,Rachitova,0.0
199,98916,Scanteia,1108.129329403095
200,33382,Josenii Bargaului,0.0
201,49769,Topliceni,0.954639175257732
202,66152,Branistea,1035.2921643573818
203,41578,Parau,80.27727682596934
204,115307,Bahnea,328.1347953998395
205,139884,Oras Simleu Silvaniei,900.7175086107922
206,107118,Baita De Sub Codru,0.0
207,74359,Terpezita,5905.124035989717
208,156277,Cenei,2962.587342589603
209,8826,Vintu De Jos,1314.6140639269406
210,82555,Turburea,0.0
211,123521,Pipirig,0.0
212,148097,Dolhesti,7.744592129267657
213,25228,Saucesti,2207.9940981187756
214,107154,Baiut,85.56860321384426
215,41621,Poiana Marului,0.0
216,156311,Cheveresu Mare,0.19599109131403117
217,66198,Baleni,0.0
218,58008,Iara,22.257691361063255
219,172698,Rosiile,0.0
220,17049,Malureni,1.3177550149381134
221,33435,Lechinta,6564.232970898624
222,148131,Dorna-Arini,0.0
223,139937,Agrij,5.978107344632768
224,74411,Teslui,2004.8845155709344
225,66223,Barbuletu,0.0
226,90805,Ribita,0.0
227,98998,Scobinti,707.1026611009653
228,107190,Basesti,3186.1213626685594
229,82617,Oras Turceni,57.584945176789454
230,49849,Tintesti,801.6205908289242
231,115389,Band,2274.799269517577
232,164543,Ivesti,0.0
