Regiune,c3511,c3512,c3513,c3514,c3521,c3522,c3523,c3530
Bucuresti-Ilfov,0.861,1.217,0.5405,1.3005,1.5345,0.9570000000000001,1.6735,1.332
Centru,0.2626,1.3574,0.8744,0.4338,0.2976,2.3024,2.9372,2.594
Nord-Est,0.6211666666666668,0.0,0.8043333333333335,0.2038333333333333,1.9941666666666666,0.7511666666666666,0.149,4.658333333333334
Nord-Vest,0.7015000000000001,0.0,0.36000000000000004,0.40549999999999997,0.0,0.43533333333333335,0.0,2.477
Sud,0.8202857142857143,0.37414285714285717,0.47000000000000003,0.020999999999999998,1.5987142857142858,0.233,0.0,3.1550000000000002
Sud-Est,0.9406666666666667,0.0,0.7506666666666666,0.30883333333333335,1.403333333333333,0.6863333333333332,0.0,3.966666666666667
Sud-Vest,1.6260000000000001,0.0,0.8276,0.6317999999999999,0.0,0.23700000000000002,1.0924,5.2909999999999995
Vest,1.6635,0.0,0.78125,0.18175,0.22625,0.221,0.095,1.98075
