Regiune,0,1,2,3,4,5,6
Bucuresti-Ilfov,2124333894.8157332,13413201.93023426,11279753.388410922,184612770.83228076,41646411.49498662,58636362.42759929,1780131.1713664953
Centru,6225367.224794171,1302411.977729153,332557.14638358116,27193972.72473404,5708193.26351389,5130651.510046672,65049.201085944216
Nord-Est,34246474.26640745,563017.6810842286,158270.47742997322,24101743.02334803,1838978.6466865956,5359781.720397264,65892.08512852984
Nord-Vest,12471226.62058055,1371913.9288611228,221074.16917426974,18543175.590950485,2613550.819182855,1564910.388335829,78755.21861752933
Sud,26923346.971747372,132257.47597297697,129283.47105825067,10242169.11645566,2679388.9266821276,1453064.9521978812,40998.46991262538
Sud-Est,128710013.79849756,3309047.780716537,10572.668636265415,33149512.765388325,11155711.975227317,5984712.9100068165,101624.95025281409
Sud-Vest,31805636.863965057,550022.2929701194,545.2960861771135,8569222.155252595,291518.6242505383,1403829.9592172354,66143.23940019512
Vest,57783533.69327241,1218033.991138197,7338.17600508656,129314503.40369509,4619828.57557628,10658621.392399125,87120.1385155141
