,Siruta,Localitate,LT
68,7945,Spring,42.51350024545901
1035,64826,Sanzieni,42.50136836343733
2427,142122,Mirsid,42.49866524292579
446,32153,Tamaseu,42.46171967020024
1431,86461,Ciceu,42.45446660884649
2182,128659,Schitu,42.43421052631579
808,52696,Dognecea,42.42795830778663
1350,81497,Rosia De Amaradia,42.42671009771987
582,39959,Dimacheni,42.40940254652302
128,11762,Plescuta,42.38900634249472
2330,136553,Capleni,42.38884702336097
342,26083,Valea Seaca,42.37230030853617
2164,127750,Obarsia,42.369477911646584
1487,90663,Rapoltu Mare,42.368587713742876
1135,70637,Amarastii De Jos,42.368045649072755
1348,81380,Polovragi,42.36234458259325
822,53210,Marga,42.3463687150838
1406,85127,Mugeni,42.32093663911846
767,50068,Valea Salciei,42.29390681003584
3008,171628,Nicolae Balcescu,42.29234675371781
1525,93325,Dichiseni,42.291666666666664
2282,133615,Gornet-Cricov,42.29050279329609
3028,173230,Stoenesti,42.285714285714285
2161,127625,Morunglav,42.281879194630875
830,53513,Pojejena,42.26588628762542
385,28530,Chislaz,42.254082039028276
304,23207,Lipova,42.24480777728679
1193,73503,Orodel,42.21453287197232
698,45361,Boldu,42.21218961625282
2334,136768,Andrid,42.2077922077922
2347,137363,Cehal,42.18629715165512
1390,84175,Corund,42.179616548940466
1196,73629,Pielesti,42.16903073286052
1867,110232,Oras Vanju Mare,42.15911463771142
1474,89428,Dobra,42.15573456079785
1337,80560,Ionesti,42.11899791231733
2697,154380,Smardioasa,42.085152838427945
2213,130286,Balteni,42.073628850488355
2804,159366,Birda,42.06773618538324
2392,139937,Agrij,42.066420664206646
1234,74956,Talpas,42.06268958543984
2450,143557,Selimbar,42.050283286118976
2585,150178,Sadova,42.044911610129
884,56988,Chinteni,42.04182913860333
2038,121153,Bahna,42.03350214257889
2614,151497,Cosna,42.027800490596896
2990,170168,Glavile,41.99475065616798
2988,169994,Galicea,41.99424736337488
1947,115600,Bala,41.99288256227758
2944,167035,Vutcani,41.9753086419753
2219,130348,Ipotesti,41.97019867549669
2843,160528,Horia,41.9698314108252
3174,180019,Sarateni,41.966173361522195
2717,155118,Fantanele,41.95583596214511
1172,72463,Gighera,41.95274186357557
39,5210,Lopadea Noua,41.951664386684904
2991,170220,Golesti,41.947565543071164
364,27212,Auseu,41.936878512754
753,49153,Sahateni,41.93425076452599
2504,145907,Tilisca,41.92708333333333
848,54500,Varadia,41.92100538599641
2190,129139,Strejesti,41.920189648360335
3019,172509,Racovita,41.90114068441065
1363,82555,Turburea,41.85845799769851
3145,179720,Poiana Ilvei,41.854838709677416
2642,152270,Bujoreni,41.832669322709165
3172,179999,Moldoveni,41.809851088201604
1222,74750,Varvoru De Jos,41.793238608525236
601,40688,Budila,41.79152056104559
1694,101742,Cernica,41.76113592121837
827,53372,Obreja,41.74972314507198
1425,86311,Varsag,41.749049429657795
2126,125999,Brebeni,41.722745625841185
170,13999,Aninoasa,41.71102661596958
616,41346,Lisa,41.689750692520775
1401,84754,Lunca De Sus,41.68231318062336
33,4703,Hoparta,41.676104190260475
2512,146325,Mitocu Dragomirnei,41.66259168704157
1850,108918,Salsig,41.647058823529406
1022,64238,Chichis,41.62120031176929
2907,164197,Hoceni,41.617933723196884
1325,79585,Catunele,41.612301957129546
1332,80249,Dragotesti,41.58125915080527
896,57831,Geaca,41.57676348547718
2018,120174,Vetca,41.54929577464789
720,46867,Glodeanu Sarat,41.5327564894932
2564,149138,Iacobeni,41.53225806451613
51,6397,Ponor,41.495327102803735
1883,111480,Devesel,41.48580968280468
1245,75542,Balabanesti,41.47286821705426
2718,155127,Frasinet,41.46955208857574
2281,133562,Gornet,41.467576791808874
2905,164062,Garceni,41.46620847651776
3054,175126,Andreiasu De Jos,41.46341463414634
802,52035,Ciudanovita,41.46341463414634
2108,125141,Pancesti,41.43835616438356
42,5577,Metes,41.42672969488612
3081,176891,Naruja,41.40625
2995,170612,Lalosu,41.40161725067386
1704,102160,Corbeanca,41.383968778144705
578,39792,Vlasinesti,41.38218151540383
3149,179766,Isvoarele,41.37096774193548
1416,85760,Sandominic,41.313190005810576
1701,102035,Clinceni,41.3084432265799
1681,101145,Berceni,41.30088367376503
414,30336,Pietroasa,41.29828753484667
1069,66401,Bilciuresti,41.29119031607263
1417,85788,Sanmartin,41.2707182320442
508,35429,Zagra,41.26807563959956
1408,85289,Plaiesii De Jos,41.26753749395259
1696,101822,Chiselet,41.25846276383911
2985,169583,Fauresti,41.253263707571804
1424,86222,Ulies,41.240478781284004
2986,169681,Fartatesti,41.22462344466274
526,36676,Corlateni,41.22423485321674
1526,93370,Dor Marunt,41.211401425178146
2230,130847,Paulesti,41.207815275310836
1794,106407,Recea,41.193595342066956
1203,73923,Robanesti,41.18852459016394
423,30915,Oras Sacueni,41.16062176165803
2387,139394,Viile Satu Mare,41.10892388451444
963,61737,Dobromir,41.104033970276014
1441,86936,Teliucu Inferior,41.093901258470474
2026,120496,Sarateni,41.06280193236715
26,4188,Craciunelu De Jos,41.02863822326125
1721,102909,Fratesti,41.02083821119176
2689,154068,Scurtu Mare,41.01531023368251
1386,83981,Ciucsangeorgiu,41.00051572975761
115,11174,Halmagel,40.975103734439834
2397,140244,Benesat,40.96185737976783
2370,138618,Pomi,40.94856379425518
2980,169253,Costesti,40.941619585687384
1347,81264,Plopsoru,40.92115238817286
231,18242,Priboieni,40.90601757944557
65,7767,Stremt,40.884783665532325
1083,67292,Dobra,40.86130891827738
2303,135128,Salcia,40.850515463917525
2011,119750,Saulia,40.821566110397946
172,14085,Babana,40.81803005008347
3127,179409,Oras Magurele,40.8044785403276
1335,80427,Godinesti,40.792682926829265
882,56773,Catina,40.780911062906725
491,34360,Romuli,40.759312320916905
1163,72007,Oras Dabuleni,40.75297887253429
2241,131443,Oras Plopeni,40.72074503981644
225,17824,Oarja,40.69872958257713
1198,73709,Plenita,40.695128626163104
288,22059,Cotofanesti,40.6935033878039
1771,105142,Slobozia Moara,40.6789755807028
1360,82314,Stoina,40.6714364336819
2169,127983,Osica De Sus,40.66838046272493
1174,72533,Giurgita,40.65602071644368
2395,140146,Balan,40.64031362299902
126,11664,Petris,40.62780269058296
2005,119466,Sanpaul,40.62042727538777
585,39983,Blandesti,40.61162079510704
1475,89561,Oras Geoagiu,40.59214760780948
2304,135146,Salciile,40.59196617336152
2793,158779,Sag,40.590507726269315
2665,153151,Lunca,40.56390977443609
3076,176613,Maicanesti,40.56203605514316
1329,79932,Cruset,40.560593569662
2836,160261,Crisan,40.54600606673407
302,23047,Huruiesti,40.53610503282275
63,7384,Santimbru,40.531697341513286
1116,69170,Valea Mare,40.52838673412029
3097,177879,Tanasoaia,40.51825677267373
422,30871,Sacadat,40.48913043478261
313,23868,Oncesti,40.476190476190474
1100,68253,Morteni,40.453938584779706
1170,72383,Galicea Mare,40.45149481391092
460,32811,Caianu Mic,40.44843049327354
1394,84380,Darjiu,40.4438964241677
1122,69526,Voinesti,40.4302372336148
1940,115147,Alunis,40.42891183478952
369,27506,Boianu Mare,40.39408866995074
1216,74536,Unirea,40.38969616908851
1761,104635,Plataresti,40.37721324095458
3059,175439,Bordesti,40.369580668088126
755,49233,Sarulesti,40.36087369420703
1307,78454,Oras Ticleni,40.34323770491803
2794,158804,Stiuca,40.333135038667464
2429,142239,Nusfalau,40.32733224222586
3065,175787,Corbita,40.30950626381725
1494,91232,Santamaria-Orlea,40.30947775628626
1164,72034,Desa,40.30769230769231
363,27169,Abramut,40.28985507246377
2956,167311,Pochidia,40.28880866425993
962,61675,Deleni,40.28738690792975
2725,155314,Giroc,40.26920551543007
1253,75917,Certesti,40.2452025586354
2931,166057,Stefan Cel Mare,40.23861171366595
3041,174254,Voineasa,40.23622047244094
1095,67942,Malu Cu Flori,40.23479188900747
2058,122463,Dulcesti,40.19607843137255
3029,173374,Stoilesti,40.192499170262195
1310,78604,Aninoasa,40.18235102572452
410,30069,Magesti,40.16045304388863
2739,155957,Barna,40.153452685421996
1305,78258,Oras Novaci,40.15215553677092
1673,100834,Afumati,40.14954982450786
914,58990,Ploscos,40.147329650092075
2017,120138,Vatava,40.13245033112583
3055,175206,Balesti,40.12820512820513
2724,155289,Ghiroda,40.10113392583512
2796,158895,Tomesti,40.093786635404456
1476,89687,Gurasada,40.09132420091324
606,40900,Cristian,40.06204756980352
1340,80711,Licurici,40.044994375703034
2139,126647,Deveselu,40.038167938931295
762,49769,Topliceni,39.99438675273646
1322,79362,Bumbesti-Pitic,39.98875140607424
837,53791,Sasca Montana,39.98410174880763
13,2577,Avram Iancu,39.98364677023712
3173,180000,Platonesti,39.960629921259844
1092,67773,Lucieni,39.943910256410255
1328,79834,Crasna,39.941046425939575
2025,120487,Corunca,39.93265993265993
64,7446,Sohodol,39.93055555555556
2354,137728,Foieni,39.912554653341665
211,16908,Leresti,39.90911520983694
892,57582,Feleacu,39.90719257540603
1043,65105,Mereni,39.905213270142184
17,3397,Blandiana,39.869281045751634
1576,95747,Aroneanu,39.83001172332943
628,41925,Sanpetru,39.820481436148505
355,26742,Astileu,39.789687924016285
813,52909,Garnic,39.786856127886324
850,54573,Vrani,39.784946236559136
2731,155546,Balint,39.77812995245642
1558,94580,Stefan Voda,39.744952178533474
1018,64041,Bradut,39.72639484978541
250,19560,Ungheni,39.725400457665906
1505,92177,Zam,39.718934911242606
641,42464,Sambata De Sus,39.71036585365854
3137,179631,Treznea,39.691943127962084
1201,73852,Radovan,39.690222652468535
1960,116340,Craiesti,39.68705547652916
1835,108366,Oarta De Jos,39.67567567567568
2426,142079,Mesesenii De Jos,39.655846695346106
429,31262,Suplacu De Barcau,39.64941569282137
1455,87745,Baia De Cris,39.64302489431658
1684,101243,Brazii,39.641657334826434
1044,65113,Arcus,39.63828183873399
574,39612,Vaculesti,39.632701421800945
2000,119153,Rusii-Munti,39.625850340136054
2960,167696,Oras Baile Olanesti,39.62113127001067
1686,101341,Brezoaele,39.60223307745988
718,46803,Gheraseni,39.590942293645
1974,117177,Gornesti,39.58004064122827
1187,73102,Melinesti,39.56631049654305
1265,76406,Ghidigeni,39.55739972337483
2959,167641,Oras Baile Govora,39.5368782161235
2878,162149,Arsura,39.52730236348818
856,55106,Jichisu De Jos,39.525283797729614
716,46554,Cozieni,39.51715374841169
1724,103032,Oras Fundulea,39.5026026604974
847,54485,Valiug,39.49704142011834
1767,104886,Sarulesti,39.48811700182816
3115,178929,Biliesti,39.48393378773126
1429,86446,Cozmeni,39.47528981086028
2546,148131,Dorna-Arini,39.452495974235106
1054,65501,Ulmi,39.44717127357272
1355,81861,Scoarta,39.41326530612245
2404,140547,Cizer,39.37534857780257
2135,126406,Crampoia,39.363542026980284
712,46313,Cislau,39.36
796,51751,Bucosnita,39.351851851851855
2674,153473,Olteni,39.345673697804564
191,15493,Ciofrangeni,39.315352697095435
2175,128374,Oras Potcoava,39.30990685859441
265,20670,Stefan Cel Mare,39.300980638672364
1423,86188,Tusnad,39.28987194412107
933,60169,Negreni,39.28934010152284
432,31422,Soimi,39.28188638799571
2458,143888,Altina,39.24050632911392
2192,129246,Serbanesti,39.22701021768103
1772,105160,Snagov,39.21800947867299
3163,179908,Pietrari,39.21172309247095
2264,132574,Cerasu,39.20803123257111
1500,91731,General Berthelot,39.2
3128,179463,Mogosoaia,39.18879486431281
1178,72677,Goiesti,39.188134270101486
2055,122285,Dobreni,39.18558077436582
1090,67675,Hulubesti,39.181957186544345
991,63125,Valu Lui Traian,39.169783096484664
348,26353,Odobesti,39.16269210386857
1356,81987,Schela,39.15194346289753
1435,86501,Satu Mare,39.15181315304241
2269,132805,Cornu,39.111111111111114
2050,122025,Ceahlau,39.1
1421,85984,Simonesti,39.090330788804074
2205,129816,Verguleasa,39.072543617998164
449,32187,Rosiori,39.071154665530464
56,6761,Rosia Montana,39.05768383971819
3078,176748,Milcovul,39.04698874917273
1823,107868,Coroieni,39.036827195467424
1113,68921,Tatarani,39.03133903133903
2168,127938,Orlea,39.02173913043478
1501,91795,Vata De Jos,39.021164021164026
1839,108491,Remetea Chioarului,39.006156552330694
1154,71634,Celaru,38.9873417721519
2338,136964,Beltiug,38.93473368342086
2443,143021,Varsolt,38.933764135702745
2325,136250,Olari,38.91493636972538
2684,153865,Radoiesti,38.913179262960654
751,49046,Rusetu,38.909334225493474
2376,138921,Supur,38.8974914834314
722,47006,Grebanu,38.89276575947895
1931,114453,Santana De Mures,38.85957792207792
3039,174156,Vladesti,38.85257806826434
1472,89240,Certeju De Sus,38.818737270875765
2106,125123,Valeni,38.81520778072502
1165,72052,Diosti,38.81469115191987
2242,131461,Dumbravesti,38.811544991511035
2096,124750,Tupilati,38.77897117015262
499,34770,Sieu-Odorhei,38.763750654793085
1519,93085,Ciocanesti,38.754534461910524
3106,178545,Vizantea-Livezi,38.74961312287218
756,49313,Scortoasa,38.74269005847953
1309,78542,Alimpesti,38.73994638069705
2399,140324,Bocsa,38.73213631366801
1807,107118,Baita De Sub Codru,38.72549019607843
955,61283,Ciocarlia,38.72529245663574
1357,82047,Slivilesti,38.71724677356277
27,4240,Daia Romana,38.7109375
2383,139250,Urziceni,38.70192307692308
1712,102525,Darasti-Ilfov,38.69565217391304
439,31841,Tulca,38.66481223922114
113,10943,Gurahont,38.66454689984102
492,34397,Salva,38.655462184873954
752,49073,Sageata,38.62546616941928
1995,118753,Pasareni,38.618745595489784
2965,168130,Oras Ocnele Mari,38.6098981077147
617,41382,Maierus,38.60953213817228
340,25932,Ungureni,38.60737676663219
1030,64568,Moacsa,38.59126984126984
1103,68342,Odobesti,38.587641866330394
3001,171067,Mateesti,38.553259141494436
2253,132137,Aricestii Zeletin,38.55291576673866
3034,173793,Susani,38.538739462063425
2775,157898,Nadrag,38.526315789473685
2170,128052,Perieti,38.51310176721511
2162,127689,Movileni,38.51156069364162
1661,100353,Valea Lupului,38.48241546986317
3030,173533,Stroesti,38.47179031541537
651,42913,Bordei Verde,38.46153846153847
2107,125132,Draganesti,38.46153846153847
3089,177469,Reghiu,38.452588714368815
1777,105384,Soldanu,38.44054580896687
382,28335,Ceica,38.43941028407048
1345,81095,Pades,38.434072940576385
703,45673,Buda,38.42150910667823
2393,139982,Almasu,38.41945288753799
733,47774,Movila Banului,38.415245737211634
1144,71055,Bradesti,38.39166444028854
2374,138805,Sauca,38.391224862888485
160,13365,Maracineni,38.39064958417622
3020,172581,Roesti,38.388888888888886
2669,153295,Mereni,38.381845091267884
1240,75258,Munteni,38.379102478231744
2211,130124,Vulpeni,38.372093023255815
257,20063,Bughea De Sus,38.371116708648195
1393,84344,Ditrau,38.367946297461714
1564,94795,Vladeni,38.35450695704779
1632,98827,Schitu Duca,38.339670468948036
2950,167259,Pogonesti,38.33935018050541
158,13276,Bradu,38.332155477031804
3162,179891,Raciu,38.32335329341318
1169,72276,Farcas,38.31831831831832
679,44257,Tudor Vladimirescu,38.30155979202773
2849,160779,Maliuc,38.30065359477125
2799,159071,Traian Vuia,38.2905982905983
1028,64461,Lemnia,38.28682673588579
1319,79157,Borascu,38.28658074298711
501,34903,Sintereag,38.28647925033467
174,14272,Balilesti,38.284132841328415
851,54617,Zavoi,38.276793755628944
1774,105259,Spantov,38.27126181211784
1714,102570,Domnesti,38.263665594855304
538,37397,George Enescu,38.24130879345603
433,31510,Suncuius,38.23889115368936
1173,72506,Giubega,38.23529411764706
603,40768,Cata,38.22957198443579
3022,172812,Runcu,38.22341857335128
19,3761,Cenade,38.212435233160626
1181,72926,Leu,38.20779220779221
2632,151905,Oras Videle,38.201246660730185
256,20055,Vulturesti,38.17521561507036
1242,75356,Beresti-Meria,38.14172089660159
2057,122392,Dragomiresti,38.12907045589106
2886,162693,Bogdanesti,38.11696391538781
2419,141535,Horoatu Crasnei,38.10930576070901
2097,124803,Tibucani,38.08782310806602
177,14450,Barla,38.0859375
1146,71199,Bratovoesti,38.084632516703785
101,10346,Carand,38.084632516703785
394,29038,Derna,38.08095952023988
1024,64318,Ghelinta,38.059338521400775
41,5336,Lupsa,38.02163833075734
1459,88092,Baita,38.01108801108801
865,55598,Aiton,38.009049773755656
2365,138351,Orasu Nou,38.00255264837269
357,26840,Oras Stei,38.00237408851959
2746,156311,Cheveresu Mare,38.00205973223481
3062,175590,Ciorasti,37.96536796536796
1863,109924,Oras Baia De Arama,37.92190602250166
1114,68976,Uliesti,37.91615289765721
77,9026,Bucerdea Granoasa,37.89299503585218
905,58393,Manastireni,37.89198606271777
1316,78926,Berlesti,37.89039481437831
2298,134755,Predeal-Sarari,37.876299945265465
2972,168675,Berislavesti,37.87313432835821
1827,108035,Dumbravita,37.86644951140065
468,33275,Galatii Bistritei,37.865055387713994
2694,154282,Silistea-Gumesti,37.863070539419084
1362,82430,Oras Tismana,37.85677661938131
1385,83963,Capalnita,37.83132530120482
458,32704,Budacu De Jos,37.82542113323124
189,15402,Cetateni,37.75877587758776
1970,116938,Ganesti,37.74373259052925
1891,111989,Grozesti,37.72845953002611
330,25228,Saucesti,37.719298245614034
2434,142499,Rus,37.71084337349397
399,29403,Finis,37.70318021201414
190,15448,Cicanesti,37.70005927682276
2277,133330,Floresti,37.6865671641791
1133,70520,Afumati,37.68602976476237
2212,130231,Vulturesti,37.68432550518842
204,16472,Dragoslavele,37.66990291262136
2045,121652,Borca,37.65205638154084
350,26379,Itesti,37.64415156507413
1257,76111,Costache Negri,37.630031659882405
2357,137844,Hodod,37.627268702965914
2446,143450,Municipiul Sibiu,37.627043271817016
620,41541,Ormenis,37.610619469026545
1158,71812,Cioroiasi,37.593360995850624
2196,129460,Tia Mare,37.57142857142857
705,45815,C.a. Rosetti,37.55244755244755
73,8354,Valea Lunga,37.55020080321285
2438,142710,Somes-Odorhei,37.52849977200182
1477,89801,Harau,37.514124293785315
3035,173855,Tetoiu,37.51284686536485
383,28415,Cetariu,37.49300503637381
2178,128524,Redea,37.46116289391922
219,17423,Moraresti,37.449392712550605
2967,168309,Amarasti,37.44075829383886
93,9887,Bata,37.44075829383886
381,28246,Cefa,37.41496598639456
598,40544,Beclean,37.414500683994525
885,57083,Chiuiesti,37.410071942446045
1308,78472,Albeni,37.40820734341253
240,18778,Stalpeni,37.39639200390054
2494,145382,Rau Sadului,37.391304347826086
1034,64773,Reci,37.38569123184508
1780,105534,Tartasesti,37.38384560400286
1192,73460,Negoi,37.38262910798122
495,34547,Spermezeu,37.365591397849464
717,46769,Galbinasi,37.36513344690517
1338,80613,Jupanesti,37.360703812316714
403,29662,Husasau De Tinca,37.34939759036144
853,54975,Municipiul Cluj-Napoca,37.344218764899615
2888,162871,Botesti,37.339331619537276
2448,143502,Poplaca,37.32394366197183
493,34422,Silivasu De Campie,37.32119635890767
1089,67648,Gura Sutii,37.27894364536666
647,42753,Oras Faurei,37.25791577005841
233,18411,Recea,37.24137931034483
3142,179695,Simisna,37.23756906077348
2359,137960,Lazuri,37.2336227308603
222,17619,Musatesti,37.228714524207014
927,59826,Taga,37.21727210418095
1968,116796,Fantanele,37.21461187214612
745,48744,Oras Pogoanele,37.21210037813682
1247,75668,Baleni,37.203166226912934
1077,66857,Corbii Mari,37.19845609520746
1889,111863,Gogosu,37.19643406086689
54,6592,Rametea,37.19101123595506
1764,104751,Radovanu,37.173579109062985
518,36300,Baluseni,37.16704007966144
814,52936,Glimboca,37.16699155295646
366,27329,Balc,37.157602223104405
2696,154344,Slobozia Mandra,37.14063714063714
619,41471,Moieciu,37.13838936669273
1075,66731,Comisani,37.12296983758701
1033,64719,Poian,37.10374639769453
235,18527,Rucar,37.09007887090079
66,7810,Sibot,37.07647628267183
869,55838,Baciu,37.06690561529271
2027,120502,Madaras,37.06624605678234
1286,77260,Smulti,37.05357142857143
505,35152,Tarlisua,37.05075954057058
199,16285,Davidesti,37.044788614483046
754,49206,Sapoca,37.033121916842845
1795,106461,Oras Tautii-Magheraus,37.017783857729135
3111,178885,Negrilesti,37.01067615658363
1085,67407,Dragomiresti,37.00464607816343
187,15233,Cateasca,36.98224852071006
648,42771,Surdila-Greci,36.97478991596639
1065,66152,Branistea,36.96784073506891
368,27436,Biharia,36.965481710458526
2672,153400,Nasturelu,36.946792640477376
987,62949,Silistea,36.91389599317988
2342,137130,Bogdand,36.90103000447828
1373,83320,Municipiul Miercurea Ciuc,36.89907019036166
18,3459,Bucium,36.88
539,37459,Gorbanesti,36.87258687258687
202,16427,Dobresti,36.87150837988827
2662,153062,Gratia,36.862554638173876
652,42968,Ciocile,36.844783715012724
1190,73335,Motatei,36.829268292682926
1283,77153,Schela,36.823679185232336
2580,149931,Pojorata,36.820762368207625
1581,96058,Braesti,36.80192848533548
58,6976,Salciua,36.8
1320,79237,Branesti,36.78784590341834
3168,179953,Ciceu- Mihaiesti,36.7827868852459
216,17254,Mihaesti,36.76771814829988
102,10373,Cermei,36.75675675675676
1052,65431,Razvad,36.75443310048362
640,42456,Crizbav,36.75429726996967
2700,154497,Storobaneasa,36.73053403995108
2270,132841,Cosminele,36.71970624235006
3075,176551,Jitia,36.69579030976966
3140,179677,Camin,36.690017513134855
1212,74322,Teasc,36.687548942834766
786,51305,Bania,36.680911680911684
2541,147786,Cornu Luncii,36.66208319009969
3178,180055,Crivat,36.66061705989111
1162,71956,Daneti,36.659029368881484
831,53577,Prigor,36.65835411471321
701,45539,Braesti,36.655011655011656
223,17726,Negrasi,36.65241295051924
2678,153589,Pietrosani,36.64047151277014
1854,109041,Suciu De Sus,36.631779257849665
2,1151,Oras Abrud,36.6288131819194
346,26338,Buciumi,36.62670525010335
356,26804,Municipiul Beius,36.61956402672801
1131,70414,Oras Filiasi,36.611430503889075
2558,148765,Fundu Moldovei,36.60071942446043
440,31878,Tetchea,36.6
2250,131988,Alunis,36.595425571803524
1551,94330,Salcioara,36.59378596087457
2868,161525,I.c.bratianu,36.58536585365854
2433,142426,Romanasi,36.5721434528774
2812,159446,Padureni,36.570374923171485
930,60026,Valea Ierii,36.56441717791411
1611,97722,Lungani,36.55939422621864
2947,167222,Ibanesti,36.55536028119508
413,30274,Osorhei,36.54804270462633
750,49019,Robeasca,36.53846153846153
2059,122551,Farcasa,36.53386454183266
1359,82243,Stejari,36.52849740932643
1050,65379,Aninoasa,36.527282955184695
924,59657,Suatu,36.52509652509652
2776,157923,Nitchidorf,36.507936507936506
110,10827,Felnac,36.492331891466776
2151,127224,Grojdibodu,36.48827952233525
375,27908,Buduslau,36.48816936488169
2408,140770,Cristolt,36.48780487804878
519,36373,Braesti,36.47836538461539
215,17209,Micesti,36.469316031359824
3082,176944,Nereju,36.45504165469692
1007,63553,Comandau,36.45443196004994
3011,171931,Otesani,36.44730786930511
2505,145934,Turnu Rosu,36.44329896907216
1606,97465,Helesteni,36.440677966101696
1186,73068,Malu Mare,36.43824374230611
1096,68002,Manesti,36.4321608040201
870,55918,Baisoara,36.42857142857142
251,19631,Valea Danului,36.41045958795562
1039,64997,Varghis,36.40677966101695
3158,179855,Gardani,36.403897254207266
694,45003,Beceni,36.4019085040696
2497,145499,Oras Saliste,36.40176137555043
1139,70879,Oras Bechet,36.396946564885496
372,27686,Bratca,36.394557823129254
1557,94562,Stefan Cel Mare,36.390977443609025
1773,105222,Sohatu,36.377245508982035
1255,76004,Corni,36.36363636363637
923,59586,Sanpaul,36.353529738743745
2131,126166,Carlogani,36.348862405200435
1099,68182,Moroeni,36.33260180443794
144,12457,Taut,36.32286995515695
3083,177003,Nistoresti,36.32075471698113
2180,128588,Rusanesti,36.31912442396313
726,47300,Luciu,36.31386861313868
2547,148202,Dorna Candrenilor,36.30952380952381
935,60455,Oras Eforie,36.29565405874065
252,19695,Valea Iasului,36.290663286861005
3092,177655,Slobozia Bradului,36.284760845383765
2461,143995,Atel,36.26209977661951
2372,138734,Santau,36.25438157235854
168,13891,Albestii De Muscel,36.2540192926045
707,45959,Catina,36.24744376278118
2736,155797,Belint,36.23529411764706
2396,140208,Banisor,36.23456790123456
1785,105776,Valea Dragului,36.20539599651871
2469,144376,Bradeni,36.195286195286194
2557,148729,Frumosu,36.18444209785287
462,32955,Ciceu-Giurgesti,36.16504854368932
1893,112076,Hinova,36.160137752905726
666,43652,Movila Miresii,36.14895549500454
800,51948,Ciclova Romana,36.14008941877794
2751,156589,Curtea,36.12244897959184
2475,144599,Gura Raului,36.11683848797251
805,52160,Cornereva,36.11349957007739
2236,131210,Oras Busteni,36.09401919763721
799,51877,Constantin Daicoviciu,36.08753907994641
1677,100969,Balotesti,36.083458339015415
2267,132716,Cocorastii Mislii,36.08210298883687
591,40303,Oras Predeal,36.069953849890695
321,24427,Plopana,36.06755126658625
2940,166707,Viisoara,36.0655737704918
763,49849,Tintesti,36.06512141280353
464,33122,Chiuza,36.06465997770346
286,21891,Colonesti,36.03603603603604
840,54109,Socol,36.032863849765256
1678,101001,Baneasa,36.02693602693603
243,19007,Suseni,35.99518459069021
3049,174824,Golesti,35.99277046217402
1927,114319,Municipiul Targu Mures,35.9899782206429
1641,99441,Tansa,35.97609561752988
1833,108268,Miresu Mare,35.91476091476091
3032,173686,Sirineasa,35.909568874868555
3109,178750,Vrancioaia,35.90888789638231
1450,87362,Criscior,35.90531816784507
687,44532,Zavoaia,35.89220089832585
2091,124563,Tasca,35.88208198986642
2811,159437,Parta,35.876288659793815
470,33364,Ilva Mica,35.875601629026285
2003,119331,Oras Sangeorgiu De Padure,35.861271676300575
1540,93888,Oras Lehliu Gara,35.843660629170635
3013,172082,Pausesti-Maglasi,35.84110743304243
2256,132271,Baltesti,35.825968728755946
2945,167071,Zapodeni,35.82227707497686
353,26653,Santandrei,35.814653730344595
3052,175019,Oras Odobesti,35.813656668793875
1029,64504,Malnas,35.805330243337195
3167,179944,Runcu Salvei,35.803657362848895
834,53700,Eftimie Murgu,35.80343213728549
1503,91982,Vetel,35.80298013245033
746,48771,Posta Calnau,35.784411941494696
917,59238,Risca,35.77906018136851
568,39220,Stiubieni,35.77504725897921
365,27285,Avram Iancu,35.77453987730061
2071,123255,Oniceni,35.77397532829288
2600,150980,Vatra Moldovitei,35.7703081232493
1299,77601,Suhurlui,35.7586512866016
3012,171995,Pausesti,35.75178997613365
506,35269,Uriu,35.733333333333334
1988,118281,Oras Miercurea Nirajului,35.73110682937273
522,36499,Calarasi,35.714285714285715
411,30149,Nojorid,35.7100766057749
2783,158243,Racovita,35.7024106400665
792,51573,Bozovici,35.70219966159052
1822,107733,Copalnic-Manastur,35.69110966904607
198,16132,Cuca,35.67501527183873
245,19141,Suici,35.66326530612245
2543,147937,Darmanesti,35.662299854439595
1816,107485,Botiza,35.65965583173996
2882,162452,Balteni,35.657686212361334
43,5700,Mihalt,35.63344286235853
2932,166137,Suletea,35.630906058921624
634,42156,Ungra,35.630153121319196
2243,131540,Oras Sinaia,35.60889443059019
2627,151763,Lita,35.60677328316086
1368,82831,Vladimir,35.60371517027864
1692,101662,Calugareni,35.59964333481943
588,40214,Oras Ghimbav,35.597463284379174
396,29154,Dobresti,35.595358224016145
731,47578,Mihailesti,35.59006211180124
436,31654,Tauteu,35.58882810250504
2341,137103,Barsau,35.58855885588559
846,54412,Turnu Ruieni,35.5865522174535
1275,76763,Namoloasa,35.582089552238806
292,22380,Dofteana,35.577250539221254
2152,127251,Ianca,35.55555555555556
948,60945,Albesti,35.54376657824933
2145,126978,Falcoiu,35.532331809274986
928,59880,Unguras,35.53230209281165
1276,76807,Nicoresti,35.527529990772074
836,53755,Sacu,35.51554828150573
511,35839,Rachiti,35.507246376811594
2536,147526,Cacica,35.50414167380748
710,46180,Chiojdu,35.503406510219534
166,13757,Oras Topoloveni,35.495985495985494
1166,72098,Dobresti,35.482180293501045
2124,125873,Bobicesti,35.45419701034879
157,13187,Bascov,35.446140135902866
3118,178956,Rastoaca,35.402521823472355
2037,121108,Agapia,35.388513513513516
3103,178313,Valea Sarii,35.38647342995169
1895,112245,Eselnita,35.3735753482482
