,Siruta,Localitate,LT
1191,73371,Murgasi,57.87831513260531
2121,125677,Baldovinesti,57.7906976744186
1333,80285,Farcasesti,57.630979498861045
1313,78748,Balanesti,57.58754863813229
1498,91624,Totesti,57.39528795811518
34,4767,Horea,57.33578882750153
421,30844,Rosia,57.335406946604465
2789,158608,Secas,57.333333333333336
2208,129987,Valcele,57.284595300261095
1137,70726,Apele Vii,57.20288115246098
2698,154415,Stejaru,57.09169054441261
2761,157193,Ghizela,57.08418891170432
1183,72980,Macesu De Jos,57.07502374169041
1754,104341,Nicolae Balcescu,57.072771872444804
1775,105295,Stanesti,57.03458076740881
427,31128,Sarbi,57.03245749613601
435,31609,Tarcaia,57.028360049321826
1391,84237,Danesti,57.026587086272386
389,28763,Cociuba Mare,56.98030634573305
3046,174520,Mitrofani,56.978233034571055
237,18581,Sapata,56.86131386861314
1078,66955,Cornatelu,56.860902255639104
888,57314,Catcau,56.81206246634356
2218,130339,Gura Padinii,56.800563777307964
38,5167,Livezile,56.657223796033996
1344,80980,Negomir,56.62438336856942
1436,86519,Santimbru,56.61252900232019
1410,85412,Remetea,56.55880643286185
55,6627,Ramet,56.55021834061136
1710,102446,Daia,56.51140684410646
1197,73665,Piscu Vechi,56.499535747446615
1868,110296,Bala,56.42201834862385
1160,71885,Cosoveni,56.375838926174495
1126,70094,Isalnita,56.29082646975291
2864,161348,Stejaru,56.144578313253014
1179,72819,Grecesti,56.13899613899614
424,30988,Salacea,56.07779578606159
2402,140477,Carastelec,56.062424969988
419,30719,Remetea,55.94882729211087
1493,91116,Salasu De Sus,55.92004100461302
1167,72150,Dragotesti,55.87544065804936
3152,179793,Buesti,55.875299760191844
359,26920,Oras Nucet,55.850144092219026
2704,154709,Toporu,55.64795564795565
428,31208,Spinus,55.62632696390658
1457,87996,Baru,55.54577464788733
1511,92783,Albesti,55.50847457627118
3156,179837,Coas,55.470737913486005
2423,141884,Lozna,55.46666666666666
780,50987,Ocna De Fier,55.42372881355932
405,29760,Lazuri De Beius,55.381165919282516
1465,88644,Bretea Romana,55.37948290241869
2709,154852,Vedea,55.31443755535872
1418,85840,Sansimion,55.23297491039426
2711,154932,Vartoape,55.22098105876639
1875,110875,Brosteni,55.118110236220474
2401,140440,Camar,55.10976532929599
121,11478,Moneasa,55.051813471502584
494,34477,Sanmihaiu De Campie,55.04587155963303
2104,125105,Ruginoasa,55.035737491877846
1586,96334,Coarnele Caprei,55.02958579881657
829,53489,Coronini,55.00000000000001
116,11236,Hasmas,54.9949545913219
1768,104975,Schitu,54.96845425867508
525,36649,Cordareni,54.81111903064861
1770,105106,Singureni,54.63286713286713
1884,111550,Darvari,54.63008329250367
2215,130302,Gavanesti,54.59119496855346
734,47818,Murgesti,54.58276333789329
1351,81576,Runcu,54.56642066420664
1230,74915,Ghindeni,54.48051948051948
2633,151932,Crevenicu,54.47154471544715
1195,73594,Perisor,54.45180279617365
1864,110027,Obarsia-Closani,54.406580493537014
1857,109265,Oras Ulmeni,54.36229852838122
2716,155109,Dracea,54.35483870967742
1161,71910,Cotofenii Din Dos,54.33403805496829
29,4302,Farau,54.32
2174,128301,Poboru,54.28203477141017
108,10701,Dieci,54.23728813559322
1134,70566,Almaj,54.23297262889879
1473,89348,Densus,54.13290113452188
61,7197,Scarisoara,54.08
1297,77587,Poiana,54.03111739745403
1224,74859,Carcea,54.007249295207416
757,49439,Scutelnici,54.0
3031,173597,Sutesti,53.87344766410408
1887,111783,Garla Mare,53.81679389312977
1496,91447,Tomesti,53.80047505938242
1,1071,Ciugud,53.765060240963855
1290,77377,Tepu,53.709349593495936
2721,155154,Uda-Clocociov,53.64842454394692
1150,71518,Caraula,53.62167795726941
1920,113732,Tamna,53.575857792476235
2661,153026,Galateni,53.51972041937094
3119,178965,Spulber,53.49065880039331
1152,71572,Castranova,53.42789598108747
2691,154166,Sfintesti,53.40909090909091
1184,73013,Macesu De Sus,53.35365853658537
1339,80677,Lelesti,53.288590604026844
2394,140084,Babeni,53.10136157337367
2113,125374,Slatioara,53.10095065640561
1293,77509,Varlezi,53.026315789473685
2819,159516,Bucovat,52.87485907553551
1448,87246,Banita,52.834008097166
2646,152412,Calmatuiu,52.80276816608996
1967,116723,Faragau,52.79552715654952
1806,107083,Asuaju De Sus,52.794411177644704
874,56265,Borsa,52.75519421860885
785,51243,Armenis,52.695829094608335
2414,141134,Galgau,52.659860290166584
2439,142774,Surduc,52.62983790936156
2294,134390,Plopu,52.54323499491353
2417,141376,Hereclean,52.47678018575851
3056,175224,Barsesti,52.467532467532465
2680,153623,Plopii-Slavitesti,52.46241575946085
390,28816,Copacel,52.458033573141485
3068,175983,Dumitresti,52.36486486486487
2440,142854,Samsud,52.32558139534884
3006,171469,Milcoiu,52.312138728323696
407,29902,Lugasu De Jos,52.307692307692314
890,57449,Cornesti,52.28699551569507
1687,101378,Bucsani,52.28018971178402
1229,74907,Ghidici,52.265372168284784
1899,112469,Izvoru Barzii,52.249890782000875
99,10239,Brazii,52.18718209562564
2993,170444,Gusoeni,52.170138888888886
406,29813,Lazareni,52.118644067796616
2654,152724,Didesti,52.103559870550164
397,29243,Draganesti,52.08591491119372
2160,127563,Milcov,52.00314218381775
448,32179,Sannicolau Roman,52.002256063169774
72,8229,Vadu Motilor,51.956323930846224
2413,141081,Fildu De Jos,51.94931773879142
1480,90066,Lelese,51.92307692307693
1002,63326,Gradina,51.894374282433986
711,46251,Cilibia,51.88933873144399
1364,82617,Oras Turceni,51.84797246745474
1886,111685,Floresti,51.83823529411765
1756,104421,Nuci,51.816530426884654
3176,180037,Boghis,51.801495581237255
842,54270,Teregova,51.7934446505875
1502,91937,Valisoara,51.79282868525896
376,27935,Bulz,51.73836181496759
1479,89954,Lapugiu De Jos,51.73383317713215
391,28889,Cristioru De Jos,51.69491525423729
2442,142952,Valcau De Jos,51.63800163800164
379,28139,Capalna,51.59663865546219
1125,69964,Bucovat,51.578947368421055
714,46439,Colti,51.57004830917874
1760,104582,Petrachioaia,51.54011461318052
815,52954,Goruia,51.52439024390244
1907,112904,Dubova,51.47783251231527
1202,73905,Rast,51.438596491228076
2657,152868,Draganesti De Vede,51.42348754448398
59,7044,Salistea,51.42255005268704
416,30470,Pomezeu,51.392757660167135
3045,174511,Lacusteni,51.37111517367459
1353,81754,Sacelu,51.36702568351284
952,61167,Cerchezu,51.343836886005555
2028,120511,Bereni,51.34328358208955
1495,91330,Soimus,51.34138162307177
993,63161,Dumbraveni,51.3126491646778
2683,153829,Putineiu,51.30490133672821
361,27007,Oras Vascau,51.28073770491803
92,9832,Archis,51.241721854304636
871,56014,Belis,51.228389444949954
692,44934,Balta Alba,51.21703853955375
1703,102106,Comana,51.16585182399398
2375,138869,Socond,51.08421583459405
2128,126077,Bucinisu,51.07458912768648
1388,84102,Carta,50.99513489606369
1732,103372,Gostinari,50.89334055224689
3027,173132,Stanesti,50.857142857142854
203,16454,Domnesti,50.811437403400305
1462,88350,Blajeni,50.7531865585168
2176,128436,Priseaca,50.70842654735272
20,3805,Cergau,50.705329153605014
1917,113607,Svinita,50.702426564495525
1716,102641,Dragoesti,50.67750677506775
1156,71723,Cernatesti,50.650289017341045
1829,108151,Giulesti,50.62523683213338
1180,72882,Izvoare,50.58139534883721
445,32090,Varciorog,50.558312655086844
2216,130311,Ghimpeteni,50.50675675675676
2206,129898,Visina,50.48543689320388
1805,107047,Arinis,50.468384074941454
2143,126825,Dobrun,50.422297297297305
1463,88449,Bosorod,50.404480398257625
1334,80365,Glogova,50.35143769968051
826,53345,Naidas,50.349650349650354
3003,171209,Madulari,50.319051959890615
3134,179604,Poienile Izei,50.27624309392266
1458,88047,Bacia,50.25575447570333
1374,83375,Pauleni-Ciuc,50.250626566416045
1715,102605,Dragomiresti-Vale,50.21078322609275
2173,128221,Plesoiu,50.206440957886045
1466,88788,Buces,50.19893899204244
3040,174218,Voicesti,50.162601626016254
919,59327,Savadisla,50.14318442153494
371,27631,Bors,50.05494505494505
1470,89080,Burjuc,50.0
2444,143067,Zalha,50.0
1189,73317,Marsani,49.91798797156916
1226,74875,Cotofenii Din Fata,49.810844892812106
699,45389,Bozioru,49.742930591259636
723,47079,Gura Teghii,49.65716347888849
2140,126674,Dobretu,49.6558505408063
1926,114079,Vrata,49.63934426229508
1402,84825,Lupeni,49.580272822665265
556,38544,Pomarla,49.53905870936438
481,33881,Milas,49.498997995991985
1693,101724,Cascioarele,49.47735191637631
3146,179739,Malu,49.46418499717992
675,44113,Surdila-Gaiseanca,49.43762781186094
811,52785,Farliug,49.42450914014895
2129,126102,Cezieni,49.421128798842254
736,47916,Oras Nehoiu,49.41559901101371
1138,70744,Argetoaia,49.411764705882355
2409,140823,Criseni,49.407718761941155
681,44328,Ulmu,49.4061757719715
500,34850,Sieut,49.31640625
1731,103354,Gostinu,49.316005471956224
484,34075,Nuseni,49.31330472103004
1858,109354,Valea Chioarului,49.27710843373494
1149,71457,Calopar,49.2436974789916
1488,90725,Rachitova,49.23371647509578
1403,84923,Martinis,49.22613929492691
1882,111444,Cujmir,49.21230307576894
1296,77579,Negrilesti,49.187180678123546
2142,126772,Dobroteasa,49.16067146282973
1924,113974,Voloiac,49.16030534351145
1015,63893,Bodoc,49.15422885572139
2217,130320,Gradinile,49.13722267871816
2579,149851,Poiana Stampei,49.11433172302738
28,4268,Dostat,49.09090909090909
53,6547,Radesti,49.07235621521336
2682,153776,Vitanesti,49.06860517946388
1918,113625,Sisesti,49.043977055449325
2660,152993,Frumoasa,49.034267912772584
1911,113206,Pristol,49.01153212520593
901,58204,Izvoru Crisului,48.96825396825397
735,47854,Naeni,48.91975308641975
2666,153204,Mavrodin,48.87295081967213
1478,89856,Ilia,48.86401053671386
839,54056,Slatina-Timis,48.84920634920635
1809,107190,Basesti,48.82849109653233
2154,127322,Icoana,48.80952380952381
729,47417,Margaritesti,48.8
2220,130357,Osica De Jos,48.72
2422,141786,Letca,48.66008462623414
2639,152172,Botoroaga,48.65071283095723
1903,112744,Obarsia De Camp,48.64677307425399
1227,74883,Dobrotesti,48.62657757980698
1147,71260,Breasta,48.61362266425557
2200,129629,Urzica,48.61271676300578
2314,135654,Talea,48.51367419738406
1789,105909,Vedea,48.51024208566108
1343,80908,Musetesti,48.507462686567166
1490,90878,Rau De Mori,48.50115295926211
1145,71126,Bralostita,48.46179292093946
3017,172377,Popesti,48.4248788368336
418,30648,Rabagani,48.403256105197244
2641,152252,Branceni,48.397150489759575
374,27846,Budureasa,48.35834896810506
386,28610,Ciuhoi,48.33887043189369
